ID,Name,Category,Location,Purpose,Inputs,Outputs,Dependencies,Used By,Authority,Status,Evidence,Architecture Layer,Notes
INV-041,Semantic OS,Governance / meaning,docs/governance/semantic_os/*.yaml + src/governance/semantic_os.py + semantic_grounding.py,"Meaning interface: Concepts, Boundaries, Journeys, Contracts, FileIdentities; generated Objects. Ground claims before asserting repo nouns.",Hand-authored YAML; query_semantic_os.py --ground,GROUNDED | UNKNOWN | AMBIGUOUS | UNANSWERABLE | REFUSED,MIAR / findings / ontology cited by FK; jsonl_claim_catalog for JSONL kind,Agent truth.ground_claim; construction/query CLIs,Advisory only. Never production. authority=advisory on every record.,PRESENT — CT-008 ACTIVE charter,docs/governance/SEMANTIC_OS_CONTRACT.md; src/governance/semantic_os.py; scripts/governance/query_semantic_os.py; scripts/governance/seed_semantic_os.py,GOVERNANCE (architecture-memory.md §1),Hosted in governance code + docs/governance/semantic_os/. Not a trading OS.
INV-042,Validation Access Ladder,Research / governance,src/validation_access/,VA-XAUUSD-M15 dual-surface sequential ladder S→I→F→E. Access/packaging only.,UNKNOWN (ladder inputs in ladder.py — not fully read this pass),LadderResult,docs/governance/VALIDATION_ACCESS_VA_XAUUSD_M15.md,UNKNOWN,"No runtime, fusion, sizing, or promotion authority.",PRESENT (~3 .py),src/validation_access/__init__.py; docs/architecture/architecture-memory.md §2.10,Adjacent (architecture-memory.md §2.10),
INV-043,UAT Package,Testing / UAT,src/uat/,"UAT runner, Monte Carlo engine, kill switch (package comment).",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PRESENT (~4 .py),src/uat/__init__.py; docs/architecture/architecture-memory.md §2.10,Adjacent (architecture-memory.md §2.10),internals not read this pass.
INV-044,Utils,Shared library,src/utils/,"Logging, console_safe (Windows cp1252), integrity events, sweep trace logger, related helpers.",Varies,logs/integrity_events.jsonl; logs/sweep_lifecycle.jsonl; console-safe prints,UNKNOWN,CLI entry points; CRT sweep logging; integrity emitters,Shared helpers. Windows encoding constraint is load-bearing for CLI.,PRESENT (~18 .py),docs/architecture/architecture-memory.md §2.10; docs/architecture/entry-exit-map.md; CLAUDE.md §4 Windows console encoding,Adjacent (architecture-memory.md §2.10),src/ui/ is essentially empty (__init__.py only) — not a UI subsystem.
INV-045,Health Checker,Control surface,src/monitoring/health_checker.py,"Stdlib HTTP liveness/readiness on port 8788 (GET /health, /status).",live_integration kill-switch state (docstring),JSON health/status (always HTTP 200),UNKNOWN call sites (standalone `python -m monitoring.health_checker` documented),UNKNOWN — designed for Docker/K8s probes; this repo has a Dockerfile but no k8s manifests found this pass,Liveness only. Always 200.,PRESENT — production use UNKNOWN,src/monitoring/health_checker.py,UNKNOWN,Not in architecture-memory §2.10.
INV-046,Exec Telemetry Report,Telemetry,exec_telemetry/ + src? runtime/exec_telemetry/,"Read-only operational reality report over captured ExecutionEvents (fill rate, retcode, slippage, latency). NEVER expectancy/win-rate/R.",ExecutionEvents,Human operational report; below min_n no distributional claim,analytics.metrics_oracle,"HUMAN (module: execution telemetry → HUMAN, never → decisions)",Operational quality only.,PRESENT (~4 .py under exec_telemetry/),exec_telemetry/report.py; tests/exec_telemetry/,TELEMETRY (architecture-memory.md §1),Repo also has runtime/exec_telemetry/ with a jsonl — relationship between the two trees UNKNOWN this pass.
INV-047,Production Config Registry,Config artifacts,configs/production/,Versioned production JSON files + ACTIVE_VERSION pointer. Append-only promotion_log.jsonl at configs/.,PromotionManager writes; humans must not silently edit active without hash/protocol,Loaded by get_prod_config() / get_prod_section(),src/config_layer/production_config.py,Entire runtime,Tier-0 runtime truth.,PRESENT — ACTIVE_VERSION = v2_htfcrt_2026_08,configs/production/ACTIVE_VERSION; CLAUDE.md §4.0; docs/reference/config-reference.md,CONFIG LAYER (architecture-memory.md §1),architecture.md directory tree still names v1_multi_2026_03 as active — DOC_DRIFT vs ACTIVE_VERSION file.
INV-048,Formula / Ontology YAML,Config / meaning,configs/formulas/,"Market ontology and related YAML (market_ontology.yaml, market_crt_states.yaml, crt_resolver_links.yaml, structure_profiles.yaml).",Hand-authored YAML,Loaded by formula_registry / state_contract_loader / predicate_registry,tests/test_semantic_registry.py; feature_math_lint,"Feature pipeline, CRT states, structural predicates",Ontology is authority #1 for MEANING (CLAUDE.md §6.6). Does not bypass promotion for production behavior.,PRESENT,configs/formulas/; CLAUDE.md §6.6; docs/memory/feature-memory.md,CONFIG LAYER (architecture-memory.md §1),Frozen runtime keys stay flat + additive.
INV-049,Market Reality Config,Config / meaning,configs/market_reality/market_reality_v1.yaml,Market-reality contract YAML (duplicate authority key bug fixed per F-076).,YAML,Consumed by features.market_reality_contract (name on disk),UNKNOWN beyond F-076 note,UNKNOWN,enabled:false on dimensions cited in F-076.,PRESENT,configs/market_reality/market_reality_v1.yaml; F-076; src/features/market_reality_contract.py,UNKNOWN,
INV-050,OHLCV Data Corpus,Data artifact,data/,File-backed market data CSVs (M15 OHLCV) and related datasets. No database.,Fetchers / scripts/data/,CandleLoader / FeaturePipeline / research drivers,data_ingestion schema; instrument naming {SYMBOL}_{TIMEFRAME}.csv,"Backtest, research, TV forensic (reads data/XAUUSD_M15.csv), training",Corpus. Not a finding. Integrity is L1/L2/L3 conjunction.,PRESENT — gitignored or mixed; tree exists (~353 files listed at scan),docs/reference/architecture.md §2; docs/reference/conventions.md instrument CSVs; README Quick Start,UNKNOWN,"Many data/ paths are gitignored. Inventory records the tree exists, not that every file is tracked."
INV-051,Model Artifacts,Data artifact,models/,"Zone registry, RR model, gaussian registries, BitNet artifacts, model_registry.json.",Training / ModelRegistry.promote,Engines at inference (when paths resolve),core.model_registry GOV-3 atomic promotion,"ZoneGate, RR, Gaussian, BitNet, TradeNet as configured",Artifacts. Stale vs v5 schema (F-076). Do not infer they are currently informative (F-060/F-041).,PRESENT ON DISK (~57 files listed),docs/architecture/entry-exit-map.md; src/core/model_registry.py,UNKNOWN,DRIFT-DOC on atomic/active.txt details.
INV-052,Results Artifacts,Data artifact,results/,"Runtime artifacts: backtest runs, tuner checkpoints, validation reports, baselines. Never the source of production behavior.",BacktestRunner; tuners; validators,Human/agent inspection; PromotionManager may read checkpoints,Runtime writers,Governance promote_from_tuner_checkpoint; analysis scripts,Artifacts only.,PRESENT — large tree (~8700 files listed); typically gitignored,docs/reference/conventions.md folder placement; src/runtime/backtest_v2.py _write_*,UNKNOWN,
INV-053,Logs / JSONL Streams,Telemetry artifacts,logs/,"Append-only JSONL: agent audit, collector, journals, expansion, cognitive, integrity, sweep, etc.",Emitters across services,Audit/query; JSONL claim grounding (CC-* catalog),event_fabric / writers,Agent log_query; findings; Semantic OS JSONL grounding,Streams CAN/CANNOT support claims per jsonl_claim_catalog.yaml. A log is not meaning.,PRESENT — large tree,docs/architecture/entry-exit-map.md; docs/governance/jsonl_claim_catalog.yaml; CLAUDE.md machine-readable sources,TELEMETRY (architecture-memory.md §1),"F-022: opportunities.jsonl is a detection stream, not a trade ledger."
INV-054,Tests,Verification,tests/,"pytest suite. pythonpath includes src, scripts, and repo root.",Code + fixtures + golden files,Pass/fail; GREEN_FLOOR subset is the blocking gate,"src/, scripts/, configs/",CI .github/workflows/governance.yml; hooks/pre-commit; construction_protocol validate-completion,Verification. A green test is not G001.,PRESENT — ~509 .py (GCMC v1 tests tree 436 listed 2026-08-15; disk has grown),docs/reference/testing.md; pyproject.toml testpaths; tests/conftest.py,UNKNOWN,testing.md count 411 (2026-08-07) is stale vs ~509 .py today.
INV-055,Documentation Corpus,Documentation,"docs/ + root CLAUDE.md, AGENTS.md, README.md, GROK.md, assistant_project.md","Operating rules, architecture, reference, topics, book, findings, analysis (point-in-time), memory, governance contracts, implementation plans.","Hand-authored; some generated (cli-matrix, code-map, citation-map)",LLM/human navigation. Code wins on conflict.,"Source code; tests/test_current_findings.py, test_topic_docs.py, test_doc_citations.py",Every session (CLAUDE.md bootloader),Docs describe. They do not execute. Findings doc is authoritative on conclusions.,PRESENT,README.md docs map; CLAUDE.md §2; docs/book/README.md; docs/current-findings.md,UNKNOWN,"Subtrees: architecture/, reference/, topics/, book/, governance/, memory/, analysis/, research/, research-readiness/, implementation_plan/, plans/, intent/, operations/. Not one subsystem internally — grouped as the documentation corpus."
INV-056,Findings + Closure Index,Documentation / governance,docs/current-findings.md + docs/governance/closure_authority_index.json,Living conclusions (F-ids) and boundary-scoped closure status. CLOSURE IS NON-TRANSITIVE.,Validated evidence paths (git-tracked),CLAUDE.md thin tables; data/findings.jsonl export,tests/test_current_findings.py; tests/test_closure_authority_index.py,Every planning/research turn,Conclusions. Not production switches. Research authority ≠ promotion.,PRESENT — living,docs/current-findings.md; docs/governance/closure_authority_index.json; CLAUDE.md Repository Truths Index,GOVERNANCE (architecture-memory.md §1),data/findings.jsonl is GENERATED from the markdown.
INV-057,MT5 Analytics (read-only),Lab / analytics,mt5_analytics/,MT5-FIRST post-trade analytics. Separate top-level READ-ONLY subsystem. Reconstruction kernel + schemas frozen. Imports src/.,MT5 deals/history via mt5_adapter (read-only); candle providers,Partitioned episodes/features JSONL; verification reports; Streamlit dashboard,src.* allowed; must not place orders (manual_tools is the acting side),Humans via ui/streamlit_dashboard.py; reports/,Read-only analytics. Not the trading spine. Not live control.,PRESENT — separate subsystem (~45 .py),docs/reference/architecture.md §2; docs/reference/conventions.md; mt5_analytics/MIGRATIONS.md; tests/mt5_analytics/,UNKNOWN,GCMC v2 lists this tree. Listed ≠ production control.
INV-058,OSS Lab,Lab,oss_lab/,"Isolated OSS integration & comparative benchmark laboratory. Adapters (qlib, nautilus, finrlx, lean, vectorbt, codebase-memory, tradelatest). T4 production authority forbidden.",DatasetManifest / local repo tree (per track),BenchmarkTradeRecord / StructuralFactRecord; reports/,May import src/ for reuse; production spine must not import oss_lab,Lab runners only,Research / evidence generation only. Default trust ceiling T3.,LAB ONLY — architecture APPROVED; implementation staged; blocked on Codebase-Memory pin/security gate before first real benchmark,oss_lab/README.md; docs/governance/OSS_INTEGRATION_ARCHITECTURE.md; tests/test_oss_lab.py (~37 .py),UNKNOWN,tools/oss_lab/codebase-memory/ holds a pinned MCP binary tree.
INV-059,TradingView Forensic Tools,Tooling / evidence,tools/tv_forensic/,Standalone Playwright capture of public TradingView charts + sidecar JSON + engine-vs-TV bar diff. Does not touch the trading engine.,data/XAUUSD_M15.csv; shot_plan.json; Playwright Chromium,tools/tv_forensic/shots/*.png + *.json; annotated shots,Engine CSV read-only,F-080 OHLC agreement analysis; humans,"Evidence source, not a profit ledger. Screenshots are structure until a trade object is defined.",PRESENT — standalone,tools/tv_forensic/README.md; F-079; F-080,UNKNOWN,tools/btcusdt_crt_v3_replay.py and tools/cpp/ are additional tools in the same top-level tree; not inventoried as separate major subsystems.
INV-060,Multi-LLM Coordination Layer,Workflow,multi_llm/ + src/multi_llm/ + scripts/multi_llm/ + ChatGpt workflow/,Protocol and roles so hand-operated models share repo truth. Two lanes: Implementation (build_queue) and Research (research_lane). Grants no new authority.,context/*.md (generated Portable Mind); HANDOFF.md; role prompts,turn_ledger.jsonl; build_queue.jsonl; research_cycle_ledger.jsonl; HANDOFF.md,scripts/context/build_context.py; CLAUDE.md §13,Human User=Bridge copy-pastes between models,Protocol only. Implementation in the six-model pipeline is Claude's; in this Grok TUI session Grok may implement (.grok/rules/GROK.md).,PRESENT,multi_llm/README.md; CLAUDE.md §13; src/multi_llm/ (~5 .py); scripts/multi_llm/,Adjacent (architecture-memory.md §2.10),ChatGpt workflow/ is the Jarvis prompt framework companion (docs + index.html + docx). context/ is generated/gitignored derived views.
INV-061,Grok Session Layer,Operator / session,.grok/,"Grok harness overlay: GOAL, PLAYGROUND, PENDING, HOW_INDEX, INFRA, CLOSURE_KPI, GCMC inventories, workflows.",User phrases routed to closed intent set in INFRA.md,Session behavior; PENDING ledger; How-index; GCMC numbers,CLAUDE.md doctrine; functionality Excels; ACTIVE_VERSION,Grok TUI sessions (auto-load .grok/rules/*.md),Harness. Does not replace CLAUDE.md. Does not grant production authority. P-GOAL-04 still blocks Sense B money-measurement until authorized.,PRESENT,.grok/rules/GROK.md; .grok/INFRA.md; .grok/HOW_INDEX.md; .grok/CLOSURE_KPI.md,UNKNOWN,Not a trading subsystem.
INV-062,Git Hooks + CI,Governance enforcement,hooks/ + .github/workflows/,"Tracked git hooks (GREEN_FLOOR, session-log, consolidation nudge) and GitHub workflows (governance.yml, erp-test-harness.yml).",Staged paths / commit message / push,Commit blocked or CI fail,scripts/maintenance/check_governance_invariants.py; check_session_log_commit.py; pytest GREEN_FLOOR,Every clone that sets core.hooksPath; GitHub Actions,Enforcement of logging and green floor. F-071: hooksPath was historically local/unversioned — now tracked.,PRESENT — activate via `git config core.hooksPath hooks`,hooks/README.md; .github/workflows/governance.yml; F-071,GOVERNANCE (architecture-memory.md §1),Dockerfile exists at repo root (health_checker mentions k8s; no k8s manifests found this pass).
INV-063,UI Kits (React recreations),Tooling / UI mock,ui_kits/,High-fidelity React/JSX recreations of control-plane HTML SPA and a CRT dashboard. Backend stubbed with mockApi.,None of production (mock API),Browser demo via index.html,src/control_plane/server.py as visual source (README),Humans opening index.html,Visual recreation. Not the production UI (production UI is stdlib HTML in control_plane/server.py).,PRESENT — stubbed backend,ui_kits/control_plane/README.md; ui_kits/crt_dashboard/,UNKNOWN,
INV-064,Manual Tools (order-placing utilities),Execution utility,manual_tools/,"Execution utilities kept OUTSIDE mt5_analytics (read-only) AND tests (observe-only). Demo-only, hard-gated (trade_generator.py).",UNKNOWN (not opened beyond conventions.md),Intended: demo orders,UNKNOWN,UNKNOWN,"Demo-only. tests observe, generators act.",PRESENT (1 .py listed),docs/reference/conventions.md folder placement; manual_tools/trade_generator.py,UNKNOWN,Do not confuse with production live rail.
INV-065,Archive,Archive,archive/,"dead_code, inout_legacy, scripts, ui_legacy, zips — removed/legacy material kept on disk.",N/A,N/A,N/A,N/A — not a live caller,None. Historical only.,PRESENT — not live,archive/ listing at repo scan,UNKNOWN,Do not import as current architecture.
INV-066,Reports Tree,Artifacts / reports,reports/,Generated/hand reports (JSON/MD/YAML) from audits and probes.,Analysis/research scripts,Human reading,UNKNOWN per file,UNKNOWN,Point-in-time. Not living findings (those live in docs/current-findings.md).,PRESENT (~262 files listed),reports/ listing; some cited from findings (e.g. crt_semantic_parity_report.md path variants),UNKNOWN,
INV-067,Flow Graphs + Code Maps,Generated navigation,flow_context/ + flow_graphs/ + graph.dot + docs/architecture/*.generated.md,"Generated flow manifests, Graphviz dots, pyan/code-map/citation-map for navigation.","scripts/analysis/gen_flow_graphs.py, gen_code_map.py, gen_pyan.py, gen_citation_map.py",graph.dot; flow_graphs/*.dot; flow_context/*.json; generated md,Source tree at generation time,LLM Map trigger; control_plane.dot_graph_context,Derived views. Code wins if they drift.,PRESENT — dated; regenerate rather than hand-edit,docs/architecture/entry-exit-map.md generated-docs row; flow_context/runtime.json; scripts/analysis/gen_*.py,UNKNOWN,"flow_context/runtime.json maps service_ids S1–S4 to the spine — that is a generated view of service-boundary-map, not a new architecture."
INV-068,Portable Mind (context/*.md),Generated documentation,context/,Generated multi-LLM context pack (01_GLOBAL_CONTEXT … 06_DISCUSSION). Gitignored derived views.,Canonical docs via scripts/context/build_context.py,context/*.md pasted into other models,"CLAUDE.md, findings, queue",Multi-LLM cycle (Compile trigger),Derived. Never hand-edit.,PRESENT (files exist in this workspace listing),CLAUDE.md §13; multi_llm/README.md; scripts/context/build_context.py; tests/test_context_compiler.py,UNKNOWN,
INV-069,Knowledge Book PDFs (grok/),Documentation export,grok/,Builders and exported PDFs of the canonical knowledge book / encyclopedia.,docs/book/ and related,PDF files under grok/,docs/book/,Humans,Export. Book markdown is the living map; PDFs are snapshots.,PRESENT,grok/build_book_pdf_grok.py; docs/book/README.md,UNKNOWN,
INV-070,Packaging / Environment,Build,pyproject.toml + Dockerfile + venv/,"Python >=3.10 package (setuptools). pytest config. Dockerfile present. venv/ is local environment, not product.",pip install -e .,importable src packages,N/A,All Python runtime,Build. pyproject does not declare third-party deps (README warning).,PRESENT,pyproject.toml; README.md Quick Start; Dockerfile,UNKNOWN,venv/ must not be treated as a subsystem of the trading system.
INV-071,active_models.yaml,Registry,active_models.yaml,"Hand-maintained machine-readable model registry (schema v2.1): intent/runtime/evidence/status layers for CRT, Gaussian, BitNet, zone, RR, strategies, engine-runner.","Hand-maintained; source-verified against crt_engine_v2, feature_schema, model_registry",Session boot (CLAUDE.md: loaded first); tests/test_active_models_registry.py,Code + findings,LLM sessions; tests,Descriptive registry. Not Tier-0 runtime (ACTIVE_VERSION is).,PRESENT,CLAUDE.md machine-readable sources; tests/test_active_models_registry.py,UNKNOWN,
INV-072,Goal Layer (G001),Config / economic objective,src/config_layer/goal_schema.py + goal_validator.py; production JSON `goal` section,Machine-readable statement of economic success (G001) and GoalReport PASS/FAIL against measured metrics.,get_prod_section('goal'); measured metrics dict,GoalReport in BacktestMetrics.distribution['goal_report'],backtest_v2; config_validator,Backtest metrics; ConfigValidator,Declares the objective. Does not by itself promote. Evidence has no authority without ΔG001.,PRESENT,docs/topics/goal-layer.md; src/config_layer/goal_schema.py; tests/test_goal_schema.py,CONFIG LAYER (architecture-memory.md §1),avg_rr reports SKIP — no faithful aggregate metric (topic doc).
INV-073,Feature Store,Features / runtime memory,src/core/feature_store.py,In-memory canonical feature store — single source of truth for feature dictionaries / FeatureFrame snapshots. No database.,Canonical feature dicts; CANONICAL_FEATURES + schema_validator,Validated FeatureFrame window per instrument,features.feature_schema; features.schema_validator,"LiveEngineHook / EngineRunner path (F-085: singleton was broken, now fixed; still no production live loop)",In-process cache only.,PRESENT — live path historically never ran it (F-085 FIXED); production live loop still absent (F-073),src/core/feature_store.py; docs/reference/architecture.md §1 Cache/Queue None; F-085,CORE (DECISION SPINE) (architecture-memory.md §1),"F-085 is integration certification, not proof decisions are correct."
INV-074,Model Registry,Governance,src/core/model_registry.py,GOV-3 atomic model promotion with PROMOTION_MARGIN quality gate. Writes models/ registries.,Trained artifacts + metrics,"models/{registry.json, gaussian_*.json, zone_registry.json, rr_model*}",Phase-5 calibration (training kitchen),Engines that load registered models,"Model promotion, not config promotion (that is PromotionManager).",PRESENT,docs/architecture/entry-exit-map.md; docs/memory/governance-memory.md; src/core/model_registry.py,GOVERNANCE (architecture-memory.md §1),Physically in src/core/; role is governance of models.
INV-075,Collector (decision audit),Telemetry,src/core/collector.py,Structured JSON audit of every decision path (ACCEPT and REJECT).,Decision path records,logs/collector.jsonl,EngineRunner / spine,Audit consumers; journal dual-write intent,Audit. Not a PnL ledger.,PRESENT,docs/architecture/entry-exit-map.md; docs/reference/architecture.md §3.1; src/core/collector.py,TELEMETRY (architecture-memory.md §1),Physically in src/core/; role is telemetry.
INV-076,Execution Planner,Decision kernel,src/config_layer/execution_planner.py,Turns an approved decision into deterministic trade geometry (entry/intent/TTL/size hint). Not the scorer.,engine_result + canonical features + context; execution_planner config,"trade plan dict (execution_id, trade_intent, entry_price, gate result, trace). SL/TP/RR populated later by live hook (topic doc).",EngineRunner output; production execution_planner section,UltronRiskGate; live hook; backtest capital sim,Geometry only. Economic RR owned by Ultron (F-048).,PRESENT,docs/topics/execution-planning.md; docs/architecture/signal-flow.md; src/config_layer/execution_planner.py,CORE (DECISION SPINE) (architecture-memory.md §1),Physically in config_layer; spine order places it after DecisionEngine.
INV-077,Ultron Risk Gate,Execution / risk,src/core/ultron_risk_gate.py + ultron_risk_gate_wrapper.py + ultron_live_adapter.py,Sole execution/capital authority. Fixed-order checks; first failure rejects; sizes on approve.,execution-plan dict + portfolio_state; ultron_risk_gate config,"{decision: APPROVE|REJECT, reject_reason?, final_position_size}; kill-switch state file",production ultron_risk_gate section; hardcoded logs/kill_switch_state.json (service-boundary-map blocker),BacktestRunner; LiveEngineHook; designed portfolio path,Capital. Semantic approval is DecisionEngine; money is Ultron.,PRESENT — live uncalled,docs/topics/ultron-risk-gate.md; docs/architecture/service-boundary-map.md S4; F-048,EXECUTION / LIVE (architecture-memory.md §1),F-082 declared dormant spread/slippage tax keys at in-code defaults; not activated.
INV-078,Functionality / GCMC Inventories,Inventory (file-level),results/analysis/src_business_functionality.xlsx; scripts_business_functionality.xlsx; docs/analysis/tests_functionality_inventory.xlsx; .grok/gcmc_v2_inventory.xlsx,File-level Excel inventories (does this .py exist as tracked behavior). Distinct from this subsystem inventory.,script_census / test_functionality_excel / _build_how_index,How-index coverage; GCMC v1 100% of src+scripts+tests as of 2026-08-15,Disk .py trees,GROK How-index claim.validate step 2,File inventory. 100% GCMC ≠ CRT CLOSED ≠ money.,PRESENT — dated 2026-08-15 for GCMC v1,.grok/HOW_INDEX.md; .grok/CLOSURE_KPI.md,UNKNOWN,"This workbook (Infrastructure Inventory.xlsx) is subsystem-level, not a replacement for those file lists."
INV-079,Session Logs,Documentation / audit,assistant_project.md + llm_project_assistant.md,Append-only SESSION LOG: codebase log vs workflow log. Rotated by scripts/maintenance/rotate_session_log.py.,Every assistant response (CLAUDE.md §6),Audit trail of decisions/beliefs,tests/test_session_log.py; hooks/commit-msg,Future sessions (do not reopen resolved threads without reading),Audit. Not runtime truth (Tier 3 vs ACTIVE_VERSION).,PRESENT,CLAUDE.md §6; assistant_project.md; tests/test_session_log.py,UNKNOWN,
INV-080,Experimental Specs + ZONE-X docs,Design / experimental,configs/experimental/ + ZONE-X-*.md (repo root),Experimental live-rail specs and ZONE-X design docs. Not runtime unless a config loads them.,Hand-authored,UNKNOWN consumers; charts package forbids ZONE-X import,UNKNOWN,UNKNOWN,Spec/design. Not ACTIVE_VERSION.,PRESENT ON DISK,configs/experimental/spec/; ZONE-X-SPEC-v0.8.md and siblings; src/charts/__init__.py Z-AC1,UNKNOWN,Do not treat ZONE-X as wired into charts or the spine without evidence. Charts explicitly forbids the import.
